1	1:1	Beátus vir, qui non ábiit in consílio impiórum, † et in via peccatórum non stetit, * et in cáthedra pestiléntiæ non sedit:	Bem-aventurado o homem que não andou no conselho dos ímpios, † e no caminho dos pecadores não se deteve, * e na cadeira da pestilência não se sentou:
1	1:2	Sed in lege Dómini volúntas ejus, * et in lege ejus meditábitur die ac nocte.	Mas a sua vontade está na lei do Senhor, * e na sua lei meditará dia e noite.
1	1:3a	Et erit tamquam lignum, quod plantátum est secus decúrsus aquárum, * quod fructum suum dabit in témpore suo:	E será como a árvore que foi plantada junto aos cursos de água, * que dará o seu fruto no seu tempo:
1	1:3b	Et fólium ejus non défluet: * et ómnia quæcúmque fáciet, prosperabúntur.	E a sua folha não cairá: * e todas as coisas que fizer prosperarão.
1	1:4	Non sic ímpii, non sic: * sed tamquam pulvis, quem próicit ventus a fácie terræ.	Não assim os ímpios, não assim: * mas como o pó que o vento lança da face da terra.
1	1:5	Ídeo non resúrgent ímpii in judício: * neque peccatóres in concílio justórum.	Por isso os ímpios não ressurgirão no juízo: * nem os pecadores na assembleia dos justos.
1	1:6	Quóniam novit Dóminus viam justórum: * et iter impiórum períbit.	Porque o Senhor conhece o caminho dos justos: * e o caminho dos ímpios perecerá.
2	2:1	Quare fremuérunt gentes: * et pópuli meditáti sunt inánia?	Por que bramiram as nações: * e os povos meditaram coisas vãs?
2	2:2	Astitérunt reges terræ, et príncipes convenérunt in unum * advérsus Dóminum, et advérsus Christum ejus.	Ergueram-se os reis da terra, e os príncipes se reuniram juntos * contra o Senhor, e contra o seu Cristo.
2	2:3	Dirumpámus víncula eórum: * et proiciámus a nobis jugum ipsórum.	Rompamos as cadeias deles: * e lancemos para longe de nós o seu jugo.
2	2:4	Qui hábitat in cælis, irridébit eos: * et Dóminus subsannábit eos.	Aquele que habita nos céus rirá deles: * e o Senhor zombará deles.
2	2:5	Tunc loquétur ad eos in ira sua, * et in furóre suo conturbábit eos.	Então lhes falará na sua ira, * e no seu furor os perturbará.
2	2:6	Ego autem constitútus sum Rex ab eo super Sion montem sanctum ejus, * prǽdicans præcéptum ejus.	Eu, porém, fui estabelecido Rei por ele sobre Sião, o seu monte santo, * proclamando o seu decreto.
2	2:7	Dóminus dixit ad me: * Fílius meus es tu, ego hódie génui te.	O Senhor me disse: * Tu és meu Filho, eu hoje te gerei.
2	2:8	Póstula a me, et dabo tibi gentes hereditátem tuam, * et possessiónem tuam términos terræ.	Pede-me, e eu te darei as nações como tua herança, * e os limites da terra como tua posse.
2	2:9	Reges eos in virga férrea, * et tamquam vas fíguli confrínges eos.	Tu os regerás com vara de ferro, * e como vaso de oleiro os quebrarás.
2	2:10	Et nunc, reges, intellégite: * erudímini, qui judicátis terram.	E agora, reis, entendei: * deixai-vos instruir, vós que julgais a terra.
2	2:11	Servíte Dómino in timóre: * et exsultáte ei cum tremóre.	Sede servos do Senhor no temor: * e exultai para ele com tremor.
2	2:12	Apprehéndite disciplínam, nequándo irascátur Dóminus, * et pereátis de via justa.	Abraçai a disciplina, para que o Senhor não se ire, * e não pereçais fora do caminho justo.
